Date,port_lump,sp500_lump,world_lump,port_pac,port_pac_contributions,sp500_pac,world_pac
2012-08-31,26434.266275736503,18417.393324149838,17090.741434553078,32785.979488195684,22600.0,29676.594902905537,27635.144466859914
2012-09-30,27373.926168056783,18884.292078175527,17855.142026851987,34053.66482579693,22800.0,30628.925319052054,29071.154085262173
2012-10-31,26798.32219960724,18540.628104215895,17453.83492620153,33462.04252657857,23000.0,30271.527766118466,28617.759083364435
2012-11-30,27068.447055407985,18645.561716914814,17753.2249754849,33972.408912049345,23200.0,30642.8542580021,29308.646750090684
2012-12-31,27688.835356908374,18812.145630862113,18117.43972539273,34781.181230912734,23400.0,31116.624856834947,30109.92575494539
2013-01-31,28395.697362859697,19775.151842537554,18969.870053075207,36047.402781485755,23600.0,32909.505520821884,31726.605720040552
2013-02-28,28125.198590144464,20027.456814314606,19089.341999816137,36008.28725702903,23800.0,33529.38759949027,32126.419389730967
2013-03-31,28557.376441261113,20787.92740671965,19492.954257111585,36956.15846792366,24000.0,35002.54541913604,33005.67887645578
2013-04-30,28787.28620566009,21187.310068268624,20019.26912565788,37539.50019463347,24200.0,35875.02274104379,34096.8408475975
2013-05-31,28722.52680735139,21687.533959469205,20539.124231187485,37942.87381540631,24400.0,36922.017636318895,35182.258626128496
2013-06-30,27593.055127671363,21398.127921463714,19648.090359717266,36800.316068706095,24600.0,36629.31732012501,33855.972317235886
2013-07-31,28988.333010134087,22503.911846043866,20791.061252851036,39018.431336711146,24800.0,38722.19834268921,36025.44569652567
2013-08-31,28570.239385205437,21828.96610999245,20440.37833621041,38628.69674075388,25000.0,37760.827695633016,35617.80435410003
2013-09-30,29819.4673292925,22519.782646738928,21589.846576436605,40471.4759946516,25200.0,39155.836386467745,37820.77779315325
2013-10-31,30899.97237441176,23562.59728982471,22138.60383620525,42171.001289918066,25400.0,41169.01017178368,38982.08274317273
2013-11-30,31375.96502146761,24260.93783672683,22589.946303679048,43177.17022915517,25600.0,42589.16382144936,39976.81530818651
