date,strategia,nasdaq
1976-02-11,17791.038258528457,14709.155898428133
1976-02-12,17855.203979998074,14741.016582462957
1976-02-13,17881.08534618548,14754.636104892625
1976-02-17,17821.190241318454,14731.76753085986
1976-02-18,17973.86331734158,14800.121874909775
1976-02-19,18321.68036339761,14951.410621906169
1976-02-20,18663.784866061396,15097.730667903208
1976-02-23,18773.956450272493,15146.19336639511
1976-02-24,18935.62236901229,15216.22313041196
1976-02-25,19076.270322260963,15276.301254025402
1976-02-26,18813.61987259552,15170.49900884844
1976-02-27,18335.20217275181,14973.453806409783
1976-03-01,18325.06465019818,14972.15103822879
1976-03-02,18434.572734561672,15020.617628912922
1976-03-03,18284.072291910776,14959.591678373328
1976-03-04,18076.12466895488,14873.67817284208
1976-03-05,18001.52115944678,14844.168765765284
1976-03-08,18191.261531871045,14927.47832087219
1976-03-09,18190.706664352896,14929.493253191597
1976-03-10,18270.94643033474,14966.350081115896
1976-03-11,18664.978256484206,15134.290082040863
1976-03-12,18570.406698263778,15098.146066114428
1976-03-15,18063.540565370866,14887.77255017144
1976-03-16,18113.71603140944,14911.357950971977
1976-03-17,18206.66601543904,14953.197953952067
1976-03-18,17983.14729105446,14860.625846966366
1976-03-19,17974.838870143973,14859.319838905243
1976-03-22,18025.098745029525,14884.566647943562
1976-03-23,18283.062908812917,14996.111053851564
1976-03-24,18502.42332132313,15091.065034908332
1976-03-25,18394.302949137364,15048.273470209117
1976-03-26,18476.95816373461,15085.144816363983
1976-03-29,18393.013921854315,15052.31020336364
1976-03-30,18309.386477431184,15019.472750223857
1976-03-31,18355.941956963656,15041.408485139773
1976-04-01,18280.373910066606,15011.889566511558
1976-04-02,18351.07144962163,15043.783713585151
1976-04-05,18665.00608496444,15176.935380601846
1976-04-06,18708.290414330942,15197.216608505074
1976-04-07,18403.21356359744,15073.079134309384
1976-04-08,18097.412561593977,14947.275330398912
1976-04-09,17642.387937535004,14756.722852037065
1976-04-12,17526.393255653817,14708.93084374824
1976-04-13,17544.893355986344,14719.242819091509
1976-04-14,17575.17796196455,14734.53437691014
1976-04-15,17732.90561616522,14804.614522633983
1976-04-19,17890.804975935942,14874.697989334933
1976-04-20,18286.084494096085,15044.404265351484
1976-04-21,18345.24315147505,15071.327358740762
1976-04-22,18416.55973084509,15103.233948015284
1976-04-23,18268.85642895119,15043.818114629486
1976-04-26,18252.646013468617,15039.195106658031
1976-04-27,18014.916564523217,14941.583986887366
1976-04-28,18136.188821843643,14995.077126502252
1976-04-29,18230.421965848866,15036.94876072988
1976-04-30,18039.575632788987,14959.257263330408
1976-05-03,17628.322715479055,14788.56529661063
1976-05-04,17697.5322921248,14820.46991049808
1976-05-05,17692.91806595438,14820.82277882928
1976-05-06,17758.105875127894,14851.069791454156
1976-05-07,17988.008845903343,14951.072453399816
1976-05-10,18192.412823326715,15039.45514218641
1976-05-11,18203.87809578164,15046.455711613622
1976-05-12,18219.170450503058,15055.11916791242
1976-05-13,18048.138035246546,14985.716783254764
1976-05-14,17870.158132576482,14912.988329089638
1976-05-17,17751.951034310132,14865.172534485298
1976-05-18,17763.190289812806,14872.171014321308
1976-05-19,17648.900147526172,14826.01344395306
1976-05-20,17753.471127532364,14872.879224846218
1976-05-21,17693.735942980133,14849.97639873986
1976-05-24,17207.363087485897,14644.3344540321
1976-05-25,17072.7663186959,14588.198367159604
1976-05-26,17178.98245201606,14636.724625612218
1976-05-27,17051.001914420307,14583.90912933328
1976-05-28,17145.44280883028,14627.453535246115
1976-06-01,17052.379118047378,14589.587775901282
1976-06-02,17181.65063902935,14648.088488472788
1976-06-03,17215.60185110355,14665.052343645848
1976-06-04,17015.485303173016,14580.660883390135
1976-06-07,16809.077490352243,14492.94271469441
1976-06-08,16766.61930953398,14476.671502522056
1976-06-09,16698.09240832093,14448.766437489783
1976-06-10,16829.159527675925,14508.93293899174
1976-06-11,16976.380010032502,14575.749532563246
1976-06-14,17235.350798688516,14690.761981444572
1976-06-15,17250.08476301365,14699.420255127756
1976-06-16,17430.91924805549,14779.541539355754
1976-06-17,17733.113378052134,14911.18603757726
1976-06-18,17858.108664262993,14966.38634700938
1976-06-21,17893.09034837943,14983.362520158753
1976-06-22,17648.435234937606,14882.334240510334
1976-06-23,17507.341212976007,14824.515762701038
1976-06-24,17740.732575908103,14926.258607571495
1976-06-25,17834.55409719437,14968.1681653391
1976-06-28,17759.358376676366,14938.604786315676
1976-06-29,17849.210583710796,14978.854015026862
1976-06-30,17927.535447540664,15014.118496027291
1976-07-01,17907.66207481292,15007.826523226588
1976-07-02,18140.35734437874,15107.925468906757
1976-07-06,18032.84079937802,15065.063595256895
1976-07-07,18020.519256318144,15062.096689943495
1976-07-08,18091.62810859425,15094.042896193754
1976-07-09,18361.549506974363,15209.116743902025
1976-07-12,18541.51038923435,15285.95656053798
1976-07-13,18549.354221685426,15291.308112765935
1976-07-14,18734.299465172127,15369.816514502756
1976-07-15,18762.42610546301,15383.482940330552
1976-07-16,18709.617653877533,15363.897388126958
1976-07-19,18576.05898705972,15311.054944186826
1976-07-20,18410.708142875483,15244.907273102091
1976-07-21,18346.302384782182,15220.327409549493
1976-07-22,18394.145934580047,15242.308031746872
1976-07-23,18365.928356857257,15232.692572445543
1976-07-26,18313.731103354,15213.100574807708
1976-07-27,18237.647598501168,15183.528787928277
1976-07-28,18117.89188469733,15135.6620737687
1976-07-29,18050.22015063676,15109.412609257255
1976-07-30,18220.468826905904,15182.949886598071
1976-08-02,18208.385505793987,15179.984363132511
1976-08-03,18499.20286742853,15303.423168651949
1976-08-04,18438.8446771796,15280.502351070763
1976-08-05,18278.328826315963,15215.99857255232
1976-08-06,18338.12504101238,15242.97322504577
1976-08-09,18210.101865348173,15191.772594305035
1976-08-10,18429.160253233364,15285.283929727955
1976-08-11,18392.986276215583,15272.34009804807
1976-08-12,18420.911020938176,15286.011809332502
1976-08-13,18384.768772849035,15273.067361272106
1976-08-16,18364.66523176108,15266.776646800428
1976-08-17,18456.52761724936,15307.067246115526
1976-08-18,18388.23953025497,15280.812998231808
1976-08-19,17940.00657133894,15096.509303579936
1976-08-20,17718.715217046847,15005.365424836316
1976-08-23,17483.178082199152,14907.560760730908
1976-08-24,17296.050505264255,14829.71735583938
1976-08-25,17455.01418687544,14899.952273912862
1976-08-26,17314.705060689423,14842.070585097395
1976-08-27,17287.536568993946,14832.440918066162
1976-08-30,17337.891048199224,14856.089255286552
1976-08-31,17497.065939751483,14926.330184625484
1976-09-01,17840.288464125188,15074.78395923615
1976-09-02,17871.809057735893,15090.120147451764
1976-09-03,18001.870137258964,15147.05845644131
1976-09-07,18073.056976854063,15179.03828540781
1976-09-08,18088.89203112993,15187.72112781669
1976-09-09,17926.38660636922,15121.513471283635
1976-09-10,18052.66238548344,15176.794562792147
1976-09-13,17957.6583815419,15138.876349263648
1976-09-14,17783.964554496564,15067.669939468751
1976-09-15,17819.35657389735,15084.672281528005
1976-09-16,17976.66578688365,15153.273424994946
1976-09-17,18197.817224787752,15248.508570701062
1976-09-20,18305.078098877177,15295.4775005026
1976-09-21,18512.234112711347,15384.062208061396
1976-09-22,18516.205738126333,15387.758369505502
1976-09-23,18444.058046994625,15359.825219854303
1976-09-24,18456.02276104568,15366.849725833008
1976-09-27,18503.97744767708,15388.857522291391
1976-09-28,18179.66331814876,15256.04421081206
1976-09-29,18028.892963732003,15194.810131130023
1976-09-30,18021.008311690628,15193.508006995347
1976-10-01,17693.393677130487,15057.351330302236
1976-10-04,17697.515812848575,15061.039078737453
1976-10-05,17416.01185091711,14943.187150195234
1976-10-06,17148.46621859471,14830.324312817493
1976-10-07,17360.50284873504,14923.91807409983
1976-10-08,17260.027253348195,14882.64694522532
1976-10-11,17117.38012622914,14823.057658377327
1976-10-12,17013.81352063704,14780.11791576461
1976-10-13,17217.268919532173,14870.389573379389
1976-10-14,16993.875760334715,14775.8263040805
1976-10-15,17116.72182781798,14831.13062632446
1976-10-18,17266.895209103528,14898.09586440033
1976-10-19,17259.422604202635,14896.784889196391
1976-10-20,17325.27471251421,14927.116387493044
1976-10-21,17267.528098721676,14904.156083238746
1976-10-22,17175.159342500847,14866.206191571911
1976-10-25,17213.899208679064,14884.880692392866
1976-10-26,17229.55871089375,14893.562003502571
1976-10-27,17303.029529025047,14927.228853667368
1976-10-28,17388.2219238424,14965.892663288168
1976-10-29,17578.110493372114,15049.53164803051
1976-11-01,17590.048056555406,15056.552892784224
1976-11-03,17193.322152634475,14888.672078137664
1976-11-04,17451.386796380855,15002.299135421836
1976-11-05,17219.132510095653,14904.374056873445
1976-11-08,16934.590806575703,14783.121200266056
1976-11-09,16679.197316503105,14673.524998384475
1976-11-10,16577.28538051627,14630.559793023893
1976-11-11,16698.449755803114,14685.88549721046
1976-11-12,16676.059653686283,14677.904598701469
1976-11-15,16683.97522364062,14683.252020727445
1976-11-16,16828.194813293838,14748.5790360657
1976-11-17,17011.028429474118,14830.571460424067
1976-11-18,17313.298342731625,14964.217334065874
1976-11-19,17371.415796468802,14991.233569717488
1976-11-22,17560.911307011946,15074.90290446318
1976-11-23,17460.233846248168,15033.604644083429
1976-11-24,17638.549165412594,15112.280171164251
1976-11-26,17918.86723707058,15234.284045814433
1976-11-29,17781.887055501305,15177.98957051983
1976-11-30,17793.836831847144,15185.016887395166
1976-12-01,18067.67295686156,15303.69875765922
1976-12-02,18068.09266281293,15305.728740921892
1976-12-03,18249.510301186143,15384.42190300464
1976-12-06,18372.488442894115,15438.11947862786
1976-12-07,18519.65844197927,15501.82032459793
1976-12-08,18659.42022255879,15562.190110647169
1976-12-09,18947.56230591494,15684.230682441916
1976-12-10,19153.28960947549,15771.27645547905
1976-12-13,19149.565358718097,15771.651962061322
1976-12-14,19157.98437213646,15777.027797734543
1976-12-15,19263.558551033788,15822.40866549317
1976-12-16,19263.872630282254,15824.452666057889
1976-12-17,19142.42876958253,15776.487442046817
1976-12-20,19069.937022434864,15748.524378756483
1976-12-21,19151.01079904483,15783.907024988155
1976-12-22,19349.55791172445,15867.63679815227
1976-12-23,19362.05941928801,15874.68322686143
1976-12-27,19545.36723754307,15951.750332844647
1976-12-28,19762.187906846342,16042.158980033168
1976-12-29,19787.099096341597,16054.211547493036
1976-12-30,20095.604651689137,16181.307207964206
1976-12-31,20269.336481707465,16320.078780486589
1977-01-03,20209.30941980024,16288.78845731639
1977-01-04,20035.716894750967,16210.808486786236
1977-01-05,19938.39032238376,16156.168780404674
1977-01-06,20021.7032519339,16223.252720418322
1977-01-07,20067.049068524528,16263.658989981252
1977-01-10,20000.9977013422,16227.359817048578
1977-01-11,19786.126497076664,16077.663712736805
1977-01-12,19659.91850676732,16013.007602734222
1977-01-13,19851.85738289718,16150.138102546704
1977-01-14,19928.43535661857,16210.560421817492
1977-01-17,19902.16789285474,16200.940275615052
1977-01-18,19891.24485390098,16199.65786309416
1977-01-19,19993.32222060136,16270.093506699206
1977-01-20,19865.12330292327,16192.09069438973
1977-01-21,19911.312230955424,16232.505753767377
1977-01-24,19914.888799091623,16241.232509446278
1977-01-25,19826.72435657654,16189.910607376552
1977-01-26,19687.99661010995,16098.555127940748
1977-01-27,19524.661665065745,16020.538878699022
1977-01-28,19428.990772544606,15967.54081673529
1977-01-31,19380.772143566424,15937.894228797712
1977-02-01,19544.81856162516,16065.056553054168
1977-02-02,19553.91407062668,16092.130074466855
1977-02-03,19509.9499404738,16070.826171580242
1977-02-04,19593.775862497667,16139.608839859013
1977-02-07,19547.13681306764,16118.30503618189
1977-02-08,19533.94775136025,16115.3513147841
1977-02-09,19373.801174503547,16015.62955172004
1977-02-10,19439.10884672981,16066.065442836643
1977-02-11,19382.778099689283,16033.077040770262
1977-02-14,19383.752377247944,16040.13312542655
1977-02-15,19443.015355109488,16087.236558373268
1977-02-16,19474.687359024952,16122.66060867012
1977-02-17,19438.245691637927,16113.031614089952
1977-02-18,19383.27655780565,16083.378485939502
1977-02-22,19312.80455981077,16043.711863563778
1977-02-23,19212.06189155295,15980.680433763013
1977-02-24,19002.297419416493,15827.527944403077
1977-02-25,18976.09250575676,15837.918854270729
1977-02-28,18899.993264929108,15783.221741697242
1977-03-01,19016.39168635011,15878.727400568236
1977-03-02,19016.224305239124,15887.450902054088
1977-03-03,19082.45500493747,15944.575418906976
1977-03-04,19209.538899605508,16035.084701335
1977-03-07,19222.88749798897,16052.15727711251
1977-03-08,19230.3102878793,16062.555201117832
1977-03-09,19104.47226047067,15982.81626549479
1977-03-10,19126.27733000597,16014.912465250864
1977-03-11,19150.49659722922,16036.993737056093
1977-03-14,19145.004038689985,16057.407664561932
1977-03-15,19190.68056084083,16091.176327986692
1977-03-16,19234.12794885437,16123.278123364302
1977-03-17,19177.5939111318,16096.950647343348
1977-03-18,19175.321205736214,16100.673545001631
1977-03-21,19119.22913546166,16071.005815169468
1977-03-22,19049.279714745007,16036.328241742416
1977-03-23,18962.05403106575,15988.292050502208
1977-03-24,18897.642563309477,15951.940856018851
1977-03-25,18825.57863116684,15908.909122792182
1977-03-28,18717.32768291898,15837.490720517182
1977-03-29,18724.422580031347,15849.555937894756
1977-03-30,18570.24260806023,15734.719321961544
1977-03-31,18540.08015076089,15718.394733756766
1977-04-01,18616.849095588583,15787.233865892576
1977-04-04,18467.007539008744,15680.736260340387
1977-04-05,18411.536151283897,15641.031409460806
1977-04-06,18437.15927637908,15679.81263685634
1977-04-07,18445.316575646146,15703.56613628176
1977-04-11,18484.79331294784,15760.7227049258
1977-04-12,18644.30640762058,15876.333910037018
1977-04-13,18646.0702393744,15883.392623940646
1977-04-14,18882.266478045985,16034.087075739357
