Date,100% SPY,90/10 Healthcare,90/10 Consumer Staples,90/10 Utilities
2024-08-31,72030.00174998264,73576.4683765825,70328.26569372402,70963.8975125541
2024-09-30,73542.95829088613,74793.11023493066,71752.00488099127,72730.77456966726
2024-10-31,72886.69290512447,73803.02991040525,70968.32538033136,72069.67698233949
2024-11-30,77233.18787307828,77745.04356723015,75087.9566758591,76226.10290476758
2024-12-31,75374.93328066796,75557.69215180873,73146.50924576535,74018.1142246067
2025-01-31,77399.24310762672,77901.4744834697,74993.37646190467,76018.82289588773
2025-02-28,76416.66469237834,77132.75895718635,74385.95571452644,75243.92413062781
2025-03-31,72158.78772989426,73168.504514447,70487.85703135324,71427.32099399863
2025-04-30,71533.16595350063,72293.34506057309,69935.66080017055,70868.37271685875
2025-05-31,76028.6583048422,75898.17820540987,74049.4984896657,75162.67316737316
2025-06-30,79935.48755730496,79571.69606820385,77477.0724851295,78704.06473669354
2025-07-31,81776.5170647197,80981.82621736731,79052.65001598558,80693.05178486326
2025-08-31,83454.53340067813,82888.2739650269,80631.22508659419,82091.47503532976
2025-09-30,86427.21834188848,85698.20919707243,83178.65619470042,85054.8197190438
2025-10-31,88487.4117717091,87841.25153619374,84888.97628922996,87066.55463818955
2025-11-30,88659.96523527114,88758.52207790173,85256.9577780248,87349.40243352667
2025-12-31,89392.98298773998,89343.91390002484,85875.85639497754,87670.12757266099
