date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
1933-09-30,2.8420873997760516,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-10-31,2.5755857418181605,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-11-30,2.6477291120732755,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1933-12-31,2.7092071440296466,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-01-31,2.8740602701457933,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-02-28,3.0967681282707535,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-03-31,2.9481693084054172,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-04-30,3.0077022896680266,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-05-31,2.7121491755550213,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-06-30,2.75832390693157,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-07-31,2.638190668362577,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-08-31,2.54546397734204,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-09-30,2.494337913775151,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-10-31,2.52447548945069,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-11-30,2.6055290167344225,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1934-12-31,2.633123079473244,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-01-31,2.643786374881478,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-02-28,2.574551148541439,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-03-31,2.421884279209778,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-04-30,2.614108744890221,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-05-31,2.8301839902554367,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-06-30,2.94830989517583,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-07-31,3.1133997114406164,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-08-31,3.334602132253455,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-09-30,3.4157431398691216,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-10-31,3.5177348959835024,3.7762244428454586,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-11-30,3.5177348959835024,4.142917378465728,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1935-12-31,3.5177348959835024,4.155096200002629,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-01-31,3.5177348959835024,4.396998848149511,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-02-29,3.5177348959835024,4.662224796112017,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-03-31,3.5177348959835024,4.774641556659735,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-04-30,3.5177348959835024,4.794455569400473,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-05-31,3.5177348959835024,4.553784076220358,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-06-30,3.5177348959835024,4.762063758450719,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-07-31,3.5177348959835024,5.058949852763026,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-08-31,3.5177348959835024,5.1751821517580625,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-09-30,3.5177348959835024,5.249913042943396,1.6165795831888958,1.4278300274174225,1.104544260626252,1.0
1936-10-31,3.5177348959835024,5.249913042943396,1.7063056254749254,1.4278300274174225,1.104544260626252,1.0
1936-11-30,3.5177348959835024,5.249913042943396,1.7592312978036577,1.4278300274174225,1.104544260626252,1.0
1936-12-31,3.5177348959835024,5.249913042943396,1.7346004804473256,1.4278300274174225,1.104544260626252,1.0
1937-01-31,3.5177348959835024,5.249913042943396,1.7945895943666643,1.4278300274174225,1.104544260626252,1.0
1937-02-28,3.5177348959835024,5.249913042943396,1.8538481194412126,1.4278300274174225,1.104544260626252,1.0
1937-03-31,3.5177348959835024,5.249913042943396,1.8581133691178215,1.4278300274174225,1.104544260626252,1.0
1937-04-30,3.5177348959835024,5.249913042943396,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-05-31,3.5177348959835024,5.0354104230230154,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-06-30,3.5177348959835024,4.867305182746708,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-07-31,3.5177348959835024,5.1785139540220735,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-08-31,3.5177348959835024,5.252911911784567,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-09-30,3.5177348959835024,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-10-31,3.021816690686826,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-11-30,2.77204926877745,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1937-12-31,2.7437925165585137,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-01-31,2.83259644858264,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-02-28,2.7815323441391944,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-03-31,2.614125311907217,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-04-30,2.5241142075689953,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-05-31,2.5633895565018294,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-06-30,2.6385903006627616,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-07-31,3.179143814755443,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-08-31,3.2127649272228007,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-09-30,3.0815458596851895,4.529965344652741,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-10-31,3.0815458596851895,5.056212382563463,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-11-30,3.0815458596851895,5.079764163059068,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1938-12-31,3.0815458596851895,4.950211391749222,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-01-31,3.0815458596851895,4.892673473681215,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-02-28,3.0815458596851895,4.870275890906868,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-03-31,3.0815458596851895,4.883258940146239,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-04-30,2.7043321480476425,4.883258940146239,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-05-31,2.815105159487031,4.883258940146239,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-06-30,2.8762425546473196,4.883258940146239,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-07-31,2.8762425546473196,5.021753233505592,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
1939-08-31,2.8762425546473196,4.968147840321287,1.7536009117890552,1.4278300274174225,1.104544260626252,1.0
