Date,leaps_nav,leaps_options_value,leaps_bond_value,bh_nav
2008-09-23,404494.7848223108,177757.6473953646,226737.1374269462,283264.269182708
2008-09-24,402856.201379009,175120.7907220025,227735.4106570065,282730.3866009656
2008-09-25,420823.0819402252,194601.93102169837,226221.1509185268,288314.16502529534
2008-09-26,424092.07585051237,197259.23012152567,226832.84572898666,289316.1737935261
2008-09-29,362473.9806027136,130979.08980275811,231494.8907999555,263863.6454996168
2008-09-30,405044.0932780892,178238.53568871517,226805.55758937402,278182.9047828267
2008-10-01,395742.58433150663,167360.0981014487,228382.48623005793,276951.06829963834
2008-10-02,367221.9817226906,136669.95250141784,230552.02922127274,265824.5712593087
2008-10-03,358044.6360412041,126871.21420783973,231173.42183336435,262264.99757218227
2008-10-06,337105.84922642866,102951.66628368676,234154.18294274193,252193.49571444586
2008-10-07,310509.2972341663,76720.84082478257,233788.45640938374,237748.10319474142
2008-10-08,301859.46675093455,72410.38385746053,229449.082893474,235081.31439778657
2008-10-09,276630.0233280013,49487.450024946964,227142.57330305438,217203.08422714545
2008-10-10,272197.3443455778,45985.51477741524,226211.82956816256,214674.09023675835
2008-10-13,326385.64128879504,100138.89251360788,226246.74877518718,239558.29615071713
2008-10-14,320585.401992895,97957.61361309634,222627.78837979867,238311.08354939334
2008-10-15,288430.823424235,65010.05606487397,223420.76735936102,216807.3349838291
2008-10-16,306548.185418615,82142.06154797148,224406.12387064353,226048.37628403582
2008-10-17,303829.8810803408,79197.48103479444,224632.4000455464,224670.16153894222
2008-10-20,327288.4862746939,101284.04579204394,226004.44048264998,235409.56164364927
2008-10-21,315313.2680715173,86392.20441071801,228921.0636607993,228186.28387174336
2008-10-22,295228.1011583952,64132.46907620218,231095.632082193,214290.50726280018
2008-10-23,299836.44650906755,68314.47966752923,231521.9668415383,217022.6849188176
2008-10-24,286471.95987709524,57474.96058107518,228996.99929602005,209558.11050752335
2008-10-27,276831.6989544421,48384.47420038277,228447.22475405934,202925.90602825803
2008-10-28,318522.1927368595,91982.41165583595,226539.78108102354,224843.1000367933
2008-10-29,312822.3164600455,87017.80080341156,225804.51565663397,222378.09087073617
2008-10-30,323201.71764723293,98705.52410690945,224496.19354032347,228142.0841719813
2008-10-31,329770.68341498193,105429.67732273274,224341.00609224918,231674.0051473801
2008-11-03,327493.846305885,102163.69223002829,225330.15407585673,231117.3377539844
2008-11-04,351647.627285096,123409.1047205602,228238.52256453582,240582.0743311678
2008-11-05,327090.65793217527,97265.60592328907,229825.0520088862,227939.28253285232
2008-11-06,306155.0989236961,76686.73174751096,229468.36717618513,216510.9217357563
2008-11-07,316615.779266966,88673.64990913005,227942.12935783592,222785.5984642701
2008-11-10,311156.6748136221,82986.15106029865,228170.52375332345,219994.78041819925
2008-11-11,302506.12628741364,74301.0147800927,228205.11150732098,215173.71903340422
2008-11-12,286814.50673893496,57216.98182108362,229597.52491785135,204034.67856650127
2008-11-13,311122.97758024954,83247.70742966892,227875.27015058065,218182.22857404247
2008-11-14,298140.9760515144,67906.65429470825,230234.32175680617,209111.76263874848
2008-11-17,290526.2163070216,59475.11088493533,231051.1054220863,203740.89925503323
2008-11-18,295745.6199934505,61714.87218088527,234030.74781256527,205771.0983257412
2008-11-19,282760.09789977886,45712.67517404073,237047.42272573814,193213.0248856741
2008-11-20,275136.4953517864,32415.54950927042,242720.94584251597,180268.39163102812
2008-11-21,287289.89070408116,46602.21437217451,240687.67633190664,191692.6924767058
2008-11-24,303596.10232075036,65946.63034762068,237649.4719731297,204123.72799340409
2008-11-25,309485.9082314987,66956.79473920006,242529.1134922986,205486.66556334222
2008-11-26,323552.3782162253,78519.53659396555,245032.84162225976,212772.0639761661
2008-11-28,327963.5348081196,81651.95235245732,246311.58245566225,214850.70918674834
2008-12-01,305754.09369109914,55017.21088000827,250736.88281109088,195692.70795306348
2008-12-02,318545.9422216043,66929.49034541423,251616.45187619008,203533.53060715
2008-12-03,327328.0097811834,75470.92471093715,251857.08507024625,208817.7712145319
2008-12-04,319684.34214211756,65231.6299463319,254452.71219578566,202724.03374384256
2008-12-05,329703.2933905781,77820.2506680744,251883.0427225037,210148.955941807
2008-12-08,343028.93834167195,93260.21387421152,249768.72446746042,218242.5683416585
2008-12-09,335376.67372260377,83457.46036039315,251919.2133622106,213224.9100736801
2008-12-10,339031.6467828357,87514.00464287747,251517.64213995822,215787.98688751092
2008-12-11,329114.6076556124,76501.16702634684,252613.4406292656,209660.10389840443
2008-12-12,332071.5719745107,78572.7813818968,253498.79059261386,211160.1715842764
2008-12-15,325209.06084593665,224984.56309180972,100224.49775412692,208508.1400929482
2008-12-16,354525.9917039639,252928.37855897934,101597.61314498454,219243.51716283412
2008-12-17,349221.12323548994,246145.86956694318,103075.25366854678,217168.0445205219
2008-12-18,337602.72690624,233467.10701701726,104135.61988922273,212599.62395014946
2008-12-19,338962.9457458071,235261.30692010684,103701.63882570025,213250.8677566192
2008-12-22,328703.94020374434,225257.9752994822,103445.96490426213,209374.888587261
2008-12-23,323340.3949063971,220061.42134548043,103278.97356091668,207366.74933838611
2008-12-24,326238.1567899012,223125.82303315063,103112.33375675054,208591.76580437346
2008-12-26,329036.04519647406,225564.12763454326,103471.91756193082,209735.3741874902
2008-12-29,326926.65192638355,223182.01195316447,103744.63997321906,208949.65195068435
2008-12-30,340272.0254035194,236342.25065015763,103929.77475336174,214075.9093277562
2008-12-31,347759.57893144153,245057.8664411079,102701.71249033362,217133.91641931853
2009-01-02,365921.20532896544,265043.5486108262,100877.65671813923,224024.5442670091
2009-01-05,362694.0372504744,262063.77097619156,100630.26627428284,223007.03266439177
2009-01-06,367271.2662709773,266802.1282206694,100469.13805030794,224778.494758088
2009-01-07,349333.6859728777,248939.9396448131,100393.74632806463,218061.38898392775
2009-01-08,351194.6772428998,250364.21811830802,100830.45912459173,218829.72076620022
2009-01-09,339048.8875374461,237865.72186635312,101183.16567109301,214195.6432042873
2009-01-12,326816.16658268915,224849.192746094,101966.97383659516,209389.57928173308
2009-01-13,327598.8046367974,225535.69051058491,102063.11412621252,209784.16380715024
2009-01-14,310247.3941422141,207394.06040500294,102853.33373721114,202791.32730428973
2009-01-15,310825.6112577381,207875.7096682959,102949.90158944219,203086.50519802954
2009-01-16,313843.7030989904,212022.2876728836,101821.4154261068,204647.8281110044
2009-01-20,288292.41536737134,186807.65709734798,101484.75827002335,193864.99354921633
2009-01-21,309086.9358112794,208972.70503865505,100114.23077262436,202320.926741279
2009-01-22,301030.42070533865,201416.6021751,99613.81853023866,199278.843382893
2009-01-23,303422.3597480537,204052.19978028347,99370.15996777025,200375.68431066867
2009-01-26,305849.8227492154,206891.53632147034,98958.2864277451,201513.739086966
2009-01-27,311441.41399075306,211547.2649113627,99894.14907939035,203740.86395727657
2009-01-28,328880.6471806881,229995.15152325216,98885.49565743595,210603.67125679916
2009-01-29,310984.3986930752,213433.11166176962,97551.2870313056,203655.06018603046
2009-01-30,299328.02149634727,201765.62445735198,97562.39703899529,199039.6780880874
2009-02-02,297439.58800123463,198953.8712769286,98485.71672430601,198960.28975200566
2009-02-03,304803.34888574196,207395.1128003602,97408.23608538175,202137.26765292
2009-02-04,300371.5814114201,203448.9563061735,96922.62510524657,200650.42695646794
2009-02-05,308539.3560677371,211605.3848615357,96933.97120620136,203961.07349004672
2009-02-06,322361.23506958346,226239.85518946586,96121.37988011762,209474.12778344817
2009-02-09,322986.7208762438,227017.1136034845,95969.6072727593,209813.28832759595
2009-02-10,298379.1197600706,201011.06012673074,97368.05963333986,199535.10414351695
2009-02-11,302515.46565834974,204143.04676226818,98372.41889608155,201149.11610696733
2009-02-12,303245.9929422152,204611.8721825307,98634.12075968446,201525.88391490444
2009-02-13,297701.5530272594,200230.41466048465,97471.13836677474,199538.075996746
