EURUSD,mese
1.4695941209793097,2007-11
1.4601097106933603,2007-12
1.4865025281906137,2008-01
1.5192027091979987,2008-02
1.575795769691468,2008-03
1.5622069835662848,2008-04
1.5540982484817512,2008-05
1.5750015974044809,2008-06
1.5593082904815683,2008-07
1.4670931100845346,2008-08
1.4096419811248788,2008-09
1.2701960802078254,2008-10
1.2697929143905649,2008-11
1.397995352745057,2008-12
1.283697128295899,2009-01
1.2678931951522834,2009-02
1.324696302413941,2009-03
1.3235216140747077,2009-04
1.4157087802886972,2009-05
1.4038830995559701,2009-06
1.4260046482086193,2009-07
1.434267520904542,2009-08
1.4655021429061899,2009-09
1.4732965230941781,2009-10
1.503895044326783,2009-11
1.4327058792114264,2009-12
1.3866932392120368,2010-01
1.3631035089492807,2010-02
1.35080373287201,2010-03
1.3298048973083505,2010-04
1.2287880182266242,2010-05
1.2230023145675664,2010-06
1.303900003433228,2010-07
1.2665922641754155,2010-08
1.3628062009811401,2010-09
1.3778089284896853,2010-10
1.3103927373886108,2010-11
1.3301233053207395,2010-12
1.3572757244110107,2011-01
1.3734377622604372,2011-02
1.412130117416382,2011-03
1.4844063520431523,2011-04
1.432233810424805,2011-05
1.447890400886536,2011-06
1.4331985712051394,2011-07
1.4433138370513916,2011-08
1.3585848808288576,2011-09
1.4140071868896489,2011-10
1.332409501075745,2011-11
1.2956053018569946,2011-12
1.3139568567276005,2012-01
1.3477997779846194,2012-02
1.3313806056976323,2012-03
1.32415246963501,2012-04
1.2374706268310554,2012-05
1.2440905570983891,2012-06
1.2259409427642824,2012-07
1.2510946989059453,2012-08
1.2913223505020146,2012-09
1.2962603569030768,2012-10
1.297353386878968,2012-11
1.3227688074111947,2012-12
1.356833696365357,2013-01
1.315097332000733,2013-02
1.2815911769866948,2013-03
1.309586167335511,2013-04
1.3043931722640996,2013-05
1.3035939931869516,2013-06
1.3264886140823373,2013-07
1.3236267566680917,2013-08
1.3495459556579599,2013-09
1.3724011182785043,2013-10
1.3603961467742929,2013-11
1.3810056447982793,2013-12
1.355877041816712,2014-01
1.3707455396652228,2014-02
1.3752131462097177,2014-03
1.3813681602478034,2014-04
1.3604515790939338,2014-05
1.3644425868988042,2014-06
1.3396027088165288,2014-07
1.3184958696365359,2014-08
1.2690838575363164,2014-09
1.261336207389832,2014-10
1.2461991310119633,2014-11
1.2162047624588017,2014-12
1.1335555315017705,2015-01
1.120536088943482,2015-02
1.0830246210098273,2015-03
1.1114321947097783,2015-04
1.0960345268249516,2015-05
1.1222966909408576,2015-06
1.0939244031906135,2015-07
1.1214030981063852,2015-08
1.125593781471253,2015-09
1.0993843078613286,2015-10
1.0583018064498906,2015-11
1.0933980941772468,2015-12
1.0936970710754401,2016-01
1.0923947095870976,2016-02
1.1334655284881596,2016-03
1.1355893611907963,2016-04
1.1148396730422978,2016-05
1.1128050088882453,2016-06
1.1084384918212897,2016-07
1.115324497222901,2016-08
1.1219567060470588,2016-09
1.0984665155410775,2016-10
1.0648492574691777,2016-11
1.05752968788147,2016-12
1.0708587169647223,2017-01
1.058425068855286,2017-02
1.0687072277069098,2017-03
1.086425185203553,2017-04
1.1171686649322514,2017-05
1.1441648006439211,2017-06
1.1747292280197146,2017-07
1.1893434524536137,2017-08
1.178175449371338,2017-09
1.1652703285217285,2017-10
1.1851992607116701,2017-11
1.1941723823547363,2017-12
1.2409565448760986,2018-01
1.2230321168899536,2018-02
1.2302846908569336,2018-03
1.2122827768325803,2018-04
1.1667250394821167,2018-05
1.1562966108322141,2018-06
1.1707408428192143,2018-07
1.1664663553237915,2018-08
1.1637378931045532,2018-09
1.1346358060836792,2018-10
1.1392766237258911,2018-11
1.1439945697784424,2018-12
1.1487650871276853,2019-01
1.1380189657211301,2019-02
1.1230024099349976,2019-03
1.1185182332992554,2019-04
1.1131147146224976,2019-05
1.1372941732406614,2019-06
1.1157974004745481,2019-07
1.1061947345733643,2019-08
1.094271421432495,2019-09
1.1154489517211912,2019-10
1.1011761426925657,2019-11
1.120229721069336,2019-12
1.1029127836227417,2020-01
1.0997228622436523,2020-02
1.1030466556549074,2020-03
1.087725043296814,2020-04
1.107910513877869,2020-05
1.1247202157974243,2020-06
1.1872254610061646,2020-07
1.1918240785598755,2020-08
1.1742050647735593,2020-09
1.1678695678710935,2020-10
1.1971460580825806,2020-11
1.2299896478652952,2020-12
1.2120037078857422,2021-01
1.2160420417785645,2021-02
1.1723604202270508,2021-03
1.2127091884613037,2021-04
1.2190067768096926,2021-05
1.1901928186416628,2021-06
1.1892997026443481,2021-07
1.179690480232239,2021-08
1.1601601839065552,2021-09
1.1683608293533325,2021-10
1.1293437480926516,2021-11
1.132502794265747,2021-12
