date,strat_lordo,strat_netto,nudo3x,ndx1
2016-12-06,107053.19861555916,81385.38835235049,38230.999111011435,247150.9329326506
2016-12-07,110572.73139842668,84061.05377904304,39744.50755177064,250422.28463530084
2016-12-08,110930.3710161584,84332.94326535169,39920.73205586567,250802.43998843702
2016-12-09,113043.5642837367,85939.46279928029,40823.5568901427,252703.16098809338
2016-12-12,111667.20612774404,84893.10972916185,40281.23903975251,251594.2830090792
2016-12-13,115279.32334784955,87639.16091244499,41804.97454418865,254776.75461306295
2016-12-14,114360.3271323303,86940.50954227,41431.46341171609,254028.1889464103
2016-12-15,115044.32850024416,87460.51004371337,41737.32035995287,254663.46913513745
2016-12-16,113865.28121227844,86564.15923254826,41264.46918285915,253711.96328127923
2016-12-19,115001.0139282955,87427.58087106889,41765.960636279175,254749.92799351434
2016-12-20,116120.53195429198,88278.67556502916,42245.06294675272,255734.22713389274
2016-12-21,115788.19725194221,88026.02371376756,42117.907008496586,255487.89355760335
2016-12-22,114863.9165810493,87323.35492553895,41745.13155175687,254744.3794010154
2016-12-23,115180.44588988248,87563.99099300294,41885.98107129223,255041.09484672482
2016-12-27,116737.9258507033,88748.03885987333,42539.95083304083,256378.64359850355
2016-12-28,114243.77491541793,86851.90268549773,41522.22164344714,254344.37802648515
2016-12-29,113722.07347726522,86455.28796779545,41317.64687842285,253936.86439792783
2016-12-30,110402.99924293325,83932.01777106423,39938.06996456453,251120.76429609826
2017-01-03,113094.53095644517,85978.2093524431,41111.09631555661,253590.12692528617
2017-01-04,114629.9962718142,87145.52095647684,41758.62624482231,254932.43880141753
2017-01-05,116296.2893063379,88412.29212704716,42460.09919109622,256370.873389769
2017-01-06,118788.20781196852,90306.7311344369,43538.53638124179,258552.40207022574
2017-01-09,119894.09865660871,91147.46599364986,44000.88239014742,259478.72677779023
2017-01-10,120531.21482127876,91631.82281024009,44268.14099533407,260015.23413160318
2017-01-11,121470.49904763537,92345.89779841292,44662.28027610092,260798.0897780272
